ml_id,imdb_id,ml_title,imdb_title,ml_year,imdb_year,ml_genres,imdb_genres,director,writer,actor,actress,cinematographer,composer,producer,editor,production_designer,archive_footage,archive_sound
1,tt0114709,Toy Story (1995),Toy Story,1995,1995,"['Animation', ""Children's"", 'Comedy']","['Adventure', 'Animation', 'Comedy']",['nm0005124'],"['nm0169505', 'nm0230032', 'nm0004056', 'nm0710020', 'nm0923736']","['nm0000158', 'nm0000741', 'nm0725543', 'nm0001815']",,,,,,,,
2,tt0113189,GoldenEye (1995),GoldenEye,1995,1995,"['Action', 'Adventure', 'Thriller']","['Action', 'Adventure', 'Thriller']",['nm0132709'],"['nm0001220', 'nm0289833', 'nm0128997', 'nm0270761']","['nm0000112', 'nm0000293']","['nm0001713', 'nm0000463']",,,['nm0110483'],,,,
3,tt0113101,Four Rooms (1995),Four Rooms,1995,1995,['Thriller'],['Comedy'],"['nm0025978', 'nm0734319', 'nm0001675', 'nm0000233', 'nm0005062']",,"['nm0000619', 'nm0000104']","['nm0205423', 'nm0004866']",,,['nm0004744'],,,,
4,tt0113161,Get Shorty (1995),Get Shorty,1995,1995,"['Action', 'Comedy', 'Drama']","['Comedy', 'Crime', 'Thriller']",['nm0001756'],"['nm0001465', 'nm0291082']","['nm0000432', 'nm0000362', 'nm0000237']",['nm0000623'],,['nm0527099'],"['nm0787834', 'nm0792049']",,,,
5,tt0112722,Copycat (1995),Copycat,1995,1995,"['Crime', 'Drama', 'Thriller']","['Drama', 'Mystery', 'Thriller']",['nm0000750'],"['nm0081189', 'nm0535189']","['nm0000551', 'nm0001530']","['nm0000244', 'nm0000456']",,['nm0002366'],"['nm0586969', 'nm0850516']",,,,
6,tt0115012,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Shanghai Triad,1995,1995,['Drama'],"['Crime', 'Drama', 'History']",['nm0955443'],"['nm0270819', 'nm0944481']","['nm0508349', 'nm0944507', 'nm0508554']",['nm0000084'],,,"['nm0943195', 'nm0549366', 'nm0682177']",,,,
7,tt0114746,Twelve Monkeys (1995),12 Monkeys,1995,1995,"['Drama', 'Sci-Fi']","['Mystery', 'Sci-Fi', 'Thriller']",['nm0000416'],"['nm0003408', 'nm0672459', 'nm0672466']","['nm0000246', 'nm0000093', 'nm0577828']",['nm0000656'],,['nm0118729'],['nm0746273'],,,,
8,tt0112431,Babe (1995),Babe,1995,1995,"[""Children's"", 'Comedy', 'Drama']","['Comedy', 'Drama', 'Family']",['nm0003088'],"['nm0455404', 'nm0004306']",['nm0000342'],"['nm0844294', 'nm0004815', 'nm0546816']",,['nm0922806'],"['nm0587964', 'nm0593294']",,,,
9,tt0112818,Dead Man Walking (1995),Dead Man Walking,1995,1995,['Drama'],"['Crime', 'Drama']",['nm0000209'],['nm0695878'],"['nm0000576', 'nm0698764', 'nm0000855']",['nm0000215'],['nm0005683'],['nm0730321'],"['nm0453091', 'nm0799886']",,,,
10,tt0114279,Richard III (1995),Richard III,1996,1995,"['Drama', 'War']","['Drama', 'Sci-Fi', 'War']",['nm0518644'],"['nm0264236', 'nm0000636']","['nm0005212', 'nm0100815', 'nm0223266']",['nm0000906'],,['nm0002303'],"['nm0063127', 'nm0664179']",,,,
11,tt0114369,Seven (Se7en) (1995),Se7en,1995,1995,"['Crime', 'Thriller']","['Crime', 'Drama', 'Mystery']",['nm0000399'],,"['nm0000151', 'nm0000093', 'nm0000228', 'nm0001825']",,['nm0451787'],['nm0006290'],"['nm0138287', 'nm0465745']",['nm0290358'],,,
12,tt0114814,"Usual Suspects, The (1995)",The Usual Suspects,1995,1995,"['Crime', 'Thriller']","['Crime', 'Mystery', 'Thriller']",['nm0001741'],['nm0003160'],"['nm0000228', 'nm0000321', 'nm0001590', 'nm0000286']",,['nm0005875'],['nm0653211'],['nm0568120'],,['nm0191896'],,
13,tt0113819,Mighty Aphrodite (1995),Mighty Aphrodite,1995,1995,['Comedy'],"['Comedy', 'Fantasy', 'Romance']",,,['nm0000095'],"['nm0000227', 'nm0086322', 'nm0147503']",['nm0005688'],,['nm0339086'],['nm0607673'],['nm0520288'],,
14,tt0110877,"Postino, Il (1994)",Il Postino,1994,1994,"['Drama', 'Romance']","['Biography', 'Comedy', 'Drama']",['nm0705535'],"['nm0805073', 'nm0769249', 'nm0769250', 'nm0667657']","['nm0873385', 'nm0634159', 'nm0769237']",['nm0002029'],,,['nm0147601'],,,,
15,tt0113862,Mr. Holland's Opus (1995),Mr. Holland's Opus,1996,1995,['Drama'],"['Drama', 'Music']",['nm0378893'],['nm0242059'],"['nm0000377', 'nm0858988']","['nm0000444', 'nm0001156']",,['nm0004383'],"['nm0181202', 'nm0276059', 'nm0634445']",,,,
16,tt0113149,French Twist (Gazon maudit) (1995),French Twist,1995,1995,"['Comedy', 'Romance']",['Comedy'],,"['nm0041462', 'nm0095579']","['nm0149260', 'nm0390458']","['nm0000721', 'nm0001929']",['nm0061434'],['nm0540652'],['nm0344641'],['nm0374860'],,,
17,tt0116367,From Dusk Till Dawn (1996),From Dusk Till Dawn,1996,1996,"['Action', 'Comedy', 'Crime', 'Horror', 'Thriller']","['Action', 'Crime', 'Horror']",['nm0001675'],['nm0476071'],"['nm0000172', 'nm0000123', 'nm0000233']",['nm0000496'],['nm0622897'],['nm0006251'],"['nm0638089', 'nm0855283']",,,,
18,tt0112445,"White Balloon, The (1995)",The White Balloon,1995,1995,['Drama'],"['Drama', 'Family']",['nm0070159'],"['nm0452102', 'nm0787526']",['nm0435760'],"['nm0595869', 'nm0649746', 'nm0096941']",['nm0415272'],,['nm0563317'],,['nm4846516'],,
19,tt0112379,Antonia's Line (1995),Antonia's Line,1995,1995,['Drama'],"['Comedy', 'Drama']",['nm0331296'],,['nm0213912'],"['nm0002168', 'nm0887675', 'nm0234579']",['nm0823725'],['nm0782794'],"['nm0180168', 'nm0212355', 'nm0937770']",,,,
20,tt0112365,Angels and Insects (1995),Angels and Insects,1995,1995,"['Drama', 'Romance']","['Drama', 'Romance']",['nm0351993'],"['nm0125706', 'nm0351911']","['nm0753314', 'nm0447305']","['nm0000218', 'nm0000475']",,,"['nm0649715', 'nm3859362', 'nm0379053']",,,,
21,tt0117110,Muppet Treasure Island (1996),Muppet Treasure Island,1996,1996,"['Action', 'Adventure', 'Comedy', 'Musical', 'Thriller']","['Action', 'Adventure', 'Comedy']","['nm0005008', 'nm0485298']","['nm0366337', 'nm0829044', 'nm0432075', 'nm0857130']","['nm0000347', 'nm0175262', 'nm0084107']",['nm0766837'],,,,,,,
22,tt0112573,Braveheart (1995),Braveheart,1996,1995,"['Action', 'Drama', 'War']","['Biography', 'Drama', 'History']",,['nm0908824'],"['nm0000154', 'nm0001526', 'nm0005171']",['nm0000521'],['nm0001799'],['nm0000035'],"['nm0202704', 'nm0480440']",['nm0742475'],,,
23,tt0075314,Taxi Driver (1976),Taxi Driver,1996,1976,"['Drama', 'Thriller']","['Crime', 'Drama']",['nm0000217'],['nm0001707'],"['nm0000134', 'nm0000983']","['nm0000149', 'nm0001732']",['nm0152469'],['nm0002136'],"['nm0680539', 'nm0680635']",,,,
24,tt0113326,Rumble in the Bronx (1995),Rumble in the Bronx,1996,1995,"['Action', 'Adventure', 'Crime']","['Action', 'Comedy', 'Crime']",['nm0867262'],"['nm0849282', 'nm0530853']","['nm0000329', 'nm0876603']","['nm0611315', 'nm0948123']",,"['nm0910996', 'nm0006254']",['nm0876602'],,,,
25,tt0115685,"Birdcage, The (1996)",The Birdcage,1996,1996,['Comedy'],['Comedy'],['nm0001566'],"['nm0561938', 'nm0688497', 'nm0891554', 'nm0596850', 'nm0200473']","['nm0000245', 'nm0001447', 'nm0000432']",['nm0001848'],,,,,,,
