ml_id,imdb_id,ml_title,imdb_title,ml_year,imdb_year,ml_genres,ml_genres_augment,imdb_genres,imdb_type,director,writer,actor,actress,cinematographer,composer,producer,editor,production_designer,archive_footage,archive_sound
1,tt0114709,Toy Story (1995),Toy Story,1995,1995,"['Animation', ""Children's"", 'Comedy']","['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']","['Adventure', 'Animation', 'Comedy']",movie,['nm0005124'],"['nm0169505', 'nm0230032', 'nm0004056', 'nm0710020', 'nm0923736']","['nm0000158', 'nm0000741', 'nm0725543', 'nm0001815']",,,,,,,,
2,tt0113497,Jumanji (1995),Jumanji,1995,1995,"['Adventure', ""Children's"", 'Fantasy']","['Adventure', 'Children', 'Fantasy']","['Adventure', 'Comedy', 'Family']",movie,['nm0002653'],"['nm0378144', 'nm0852430', 'nm0833164', 'nm0885575']","['nm0000245', 'nm0404993']","['nm0000379', 'nm0001372']",,,['nm0472256'],,,,
3,tt0113228,Grumpier Old Men (1995),Grumpier Old Men,1995,1995,"['Comedy', 'Romance']","['Comedy', 'Romance']","['Comedy', 'Romance']",movie,['nm0222043'],['nm0425756'],"['nm0000527', 'nm0000493']","['nm0000268', 'nm0000047']",['nm0005714'],['nm0006293'],"['nm0075828', 'nm0204862']",,,,
4,tt0114885,Waiting to Exhale (1995),Waiting to Exhale,1995,1995,"['Comedy', 'Drama']","['Comedy', 'Drama', 'Romance']","['Comedy', 'Drama', 'Romance']",movie,['nm0001845'],"['nm0573334', 'nm0060103']",,"['nm0001365', 'nm0000291', 'nm0222643', 'nm0005375']",,['nm0004892'],"['nm0771834', 'nm0842470']",,,,
5,tt0113041,Father of the Bride Part II (1995),Father of the Bride Part II,1995,1995,['Comedy'],['Comedy'],"['Comedy', 'Family', 'Romance']",movie,['nm0796124'],"['nm0352443', 'nm0329304', 'nm0583600']","['nm0000188', 'nm0001737']","['nm0000473', 'nm0931090']",['nm0204567'],['nm0006293'],,,,,
6,tt0113277,Heat (1995),Heat,1995,1995,"['Action', 'Crime', 'Thriller']","['Action', 'Crime', 'Thriller']","['Crime', 'Drama', 'Thriller']",movie,['nm0000520'],,"['nm0000199', 'nm0000134', 'nm0000174', 'nm0000685']",,['nm0005883'],['nm0006106'],['nm0513165'],"['nm0325549', 'nm0117779']",,,
7,tt0114319,Sabrina (1995),Sabrina,1995,1995,"['Comedy', 'Romance']","['Comedy', 'Romance']","['Comedy', 'Drama', 'Romance']",movie,['nm0001628'],"['nm0713128', 'nm0853138', 'nm0000697', 'nm0499626', 'nm0070660']","['nm0000148', 'nm0001427']","['nm0000566', 'nm0545408']",,,,,,,
8,tt0112302,Tom and Huck (1995),Tom and Huck,1995,1995,"['Adventure', ""Children's""]","['Adventure', 'Children']","['Adventure', 'Comedy', 'Drama']",movie,['nm0382072'],"['nm0878494', 'nm0814085', 'nm0521739']","['nm0001795', 'nm0000605', 'nm0734236', 'nm0777760']",,,,"['nm0548257', 'nm0049689']",,,,
9,tt0114576,Sudden Death (1995),Sudden Death,1995,1995,['Action'],['Action'],"['Action', 'Crime', 'Thriller']",movie,['nm0001382'],"['nm0049945', 'nm0704164']","['nm0000241', 'nm0000959', 'nm0000855']",['nm0942925'],,['nm0002201'],"['nm0049920', 'nm0224537']",,,,
10,tt0113189,GoldenEye (1995),GoldenEye,1995,1995,"['Action', 'Adventure', 'Thriller']","['Action', 'Adventure', 'Thriller']","['Action', 'Adventure', 'Thriller']",movie,['nm0132709'],"['nm0001220', 'nm0289833', 'nm0128997', 'nm0270761']","['nm0000112', 'nm0000293']","['nm0001713', 'nm0000463']",,,['nm0110483'],,,,
11,tt0112346,"American President, The (1995)",The American President,1995,1995,"['Comedy', 'Drama', 'Romance']","['Comedy', 'Drama', 'Romance']","['Comedy', 'Drama', 'Romance']",movie,['nm0001661'],['nm0815070'],"['nm0000140', 'nm0000640', 'nm0000150']",['nm0000906'],['nm0005868'],['nm0003299'],,['nm0500371'],['nm0453344'],,
12,tt0112896,Dracula: Dead and Loving It (1995),Dracula: Dead and Loving It,1995,1995,"['Comedy', 'Horror']","['Comedy', 'Horror']","['Comedy', 'Fantasy', 'Horror']",movie,,"['nm0209918', 'nm0352229', 'nm0831290']","['nm0000558', 'nm0000316', 'nm0001493', 'nm0001836']",,['nm0642672'],['nm0006186'],,['nm0918891'],,,
13,tt0112453,Balto (1995),Balto,1995,1995,"['Animation', ""Children's""]","['Adventure', 'Animation', 'Children']","['Adventure', 'Animation', 'Drama']",movie,['nm0920425'],"['nm0748429', 'nm0504327', 'nm0169325', 'nm0776107']","['nm0000102', 'nm0001364', 'nm0191906']",['nm0000403'],,,['nm9054338'],,,,
14,tt0113987,Nixon (1995),Nixon,1995,1995,['Drama'],['Drama'],"['Biography', 'Drama', 'History']",movie,['nm0000231'],"['nm0729151', 'nm0929349']","['nm0000164', 'nm0000959', 'nm0000438']",['nm0000260'],,['nm0002354'],"['nm0870106', 'nm0883351']",,,,
15,tt0112760,Cutthroat Island (1995),Cutthroat Island,1995,1995,"['Action', 'Adventure', 'Romance']","['Action', 'Adventure', 'Romance']","['Action', 'Adventure', 'Comedy']",movie,['nm0001317'],"['nm0455207', 'nm0065847', 'nm0331079', 'nm0262595', 'nm0317279']","['nm0000546', 'nm0001449', 'nm0001999']",['nm0000133'],,,,,,,
16,tt0112641,Casino (1995),Casino,1995,1995,"['Drama', 'Thriller']","['Crime', 'Drama']","['Crime', 'Drama']",movie,['nm0000217'],['nm0683380'],"['nm0000134', 'nm0000582', 'nm0000249']",['nm0000232'],['nm0724744'],,['nm0208381'],['nm0774817'],['nm0274721'],,
17,tt0114388,Sense and Sensibility (1995),Sense and Sensibility,1995,1995,"['Drama', 'Romance']","['Drama', 'Romance']","['Drama', 'Romance']",movie,['nm0000487'],['nm0000807'],"['nm0281424', 'nm0929489']","['nm0000668', 'nm0000701']",['nm0183533'],['nm0236462'],['nm0233386'],['nm0820163'],,,
18,tt0113101,Four Rooms (1995),Four Rooms,1995,1995,['Thriller'],['Comedy'],['Comedy'],movie,"['nm0025978', 'nm0734319', 'nm0001675', 'nm0000233', 'nm0005062']",,"['nm0000619', 'nm0000104']","['nm0205423', 'nm0004866']",,,['nm0004744'],,,,
19,tt0112281,Ace Ventura: When Nature Calls (1995),Ace Ventura: When Nature Calls,1995,1995,['Comedy'],['Comedy'],"['Adventure', 'Comedy', 'Crime']",movie,['nm0644203'],['nm0077062'],"['nm0000120', 'nm0573862', 'nm0001003', 'nm0264330']",,['nm0004241'],['nm0006077'],['nm0732708'],['nm0132695'],,,
20,tt0113845,Money Train (1995),Money Train,1995,1995,['Action'],"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']","['Action', 'Comedy', 'Crime']",movie,['nm0747849'],"['nm0724514', 'nm0521739']","['nm0000648', 'nm0000437', 'nm0086706']",['nm0000182'],,['nm0006183'],"['nm0134635', 'nm0005307']",,,,
21,tt0113161,Get Shorty (1995),Get Shorty,1995,1995,"['Action', 'Comedy', 'Drama']","['Comedy', 'Crime', 'Thriller']","['Comedy', 'Crime', 'Thriller']",movie,['nm0001756'],"['nm0001465', 'nm0291082']","['nm0000432', 'nm0000362', 'nm0000237']",['nm0000623'],,['nm0527099'],"['nm0787834', 'nm0792049']",,,,
22,tt0112722,Copycat (1995),Copycat,1995,1995,"['Crime', 'Drama', 'Thriller']","['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']","['Drama', 'Mystery', 'Thriller']",movie,['nm0000750'],"['nm0081189', 'nm0535189']","['nm0000551', 'nm0001530']","['nm0000244', 'nm0000456']",,['nm0002366'],"['nm0586969', 'nm0850516']",,,,
23,tt0112401,Assassins (1995),Assassins,1995,1995,['Thriller'],"['Action', 'Crime', 'Thriller']","['Action', 'Crime', 'Thriller']",movie,['nm0001149'],"['nm0905152', 'nm0905154', 'nm0001338']","['nm0000230', 'nm0000104', 'nm0205863']",['nm0000194'],,,"['nm0317279', 'nm0262595']",,,,
24,tt0114168,Powder (1995),Powder,1995,1995,"['Drama', 'Sci-Fi']","['Drama', 'Sci-Fi']","['Drama', 'Fantasy', 'Mystery']",movie,['nm0759207'],,"['nm0001218', 'nm0000448', 'nm0000156']",['nm0005460'],['nm0956195'],['nm0000025'],"['nm0083696', 'nm0342841']",['nm0384190'],,,
25,tt0113627,Leaving Las Vegas (1995),Leaving Las Vegas,1995,1995,"['Drama', 'Romance']","['Drama', 'Romance']","['Drama', 'Romance']",movie,['nm0001214'],['nm3840714'],"['nm0000115', 'nm0001696', 'nm0507659']",['nm0000223'],['nm0002336'],,"['nm0147416', 'nm0829176']",['nm0808780'],,,
26,tt0114057,Othello (1995),Othello,1995,1995,['Drama'],['Drama'],"['Drama', 'Romance']",movie,['nm0662529'],['nm0000636'],"['nm0000401', 'nm0000110', 'nm0662511']",['nm0001393'],['nm0424900'],['nm0596495'],"['nm0057655', 'nm0736312']",,,,
27,tt0114011,Now and Then (1995),Now and Then,1995,1995,['Drama'],"['Children', 'Drama']","['Comedy', 'Drama', 'Romance']",movie,['nm0322128'],['nm0454783'],,"['nm0000207', 'nm0000193', 'nm0005280', 'nm0000301']",['nm0825336'],['nm0006056'],['nm0865297'],['nm0131311'],,,
28,tt0114117,Persuasion (1995),Persuasion,1995,1995,['Romance'],"['Drama', 'Romance']",['Drama'],tvEpisode,['nm0585011'],"['nm0000807', 'nm0213116']","['nm0001354', 'nm0714874']","['nm0740500', 'nm0281453']",['nm0198459'],['nm0760255'],['nm0277974'],,,,
29,tt0112682,"City of Lost Children, The (1995)",The City of Lost Children,1995,1995,"['Adventure', 'Sci-Fi']","['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']","['Fantasy', 'Sci-Fi']",movie,"['nm0001988', 'nm0000466']","['nm0012496', 'nm0491011']","['nm0000579', 'nm0256399', 'nm0684500']",['nm0900136'],,,"['nm0372910', 'nm1069032']",,,,
30,tt0115012,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Shanghai Triad,1995,1995,['Drama'],"['Crime', 'Drama']","['Crime', 'Drama', 'History']",movie,['nm0955443'],"['nm0270819', 'nm0944481']","['nm0508349', 'nm0944507', 'nm0508554']",['nm0000084'],,,"['nm0943195', 'nm0549366', 'nm0682177']",,,,
31,tt0112792,Dangerous Minds (1995),Dangerous Minds,1995,1995,['Drama'],['Drama'],"['Biography', 'Drama']",movie,['nm0808807'],"['nm0425676', 'nm0060103']","['nm0001169', 'nm0005524']","['nm0000201', 'nm0000862']",,['nm0171123'],"['nm0000988', 'nm0800971']",,,,
32,tt0114746,Twelve Monkeys (1995),12 Monkeys,1995,1995,"['Drama', 'Sci-Fi']","['Mystery', 'Sci-Fi', 'Thriller']","['Mystery', 'Sci-Fi', 'Thriller']",movie,['nm0000416'],"['nm0003408', 'nm0672459', 'nm0672466']","['nm0000246', 'nm0000093', 'nm0577828']",['nm0000656'],,['nm0118729'],['nm0746273'],,,,
33,tt0114952,Wings of Courage (1995),Wings of Courage,1995,1995,"['Adventure', 'Romance']","['Adventure', 'Romance', 'IMAX']","['Adventure', 'Romance']",movie,['nm0000269'],['nm0323708'],"['nm0001729', 'nm0001371', 'nm0000174']",['nm0001527'],['nm0005709'],['nm0001189'],"['nm0173974', 'nm0395573']",,,,
34,tt0112431,Babe (1995),Babe,1995,1995,"[""Children's"", 'Comedy', 'Drama']","['Children', 'Drama']","['Comedy', 'Drama', 'Family']",movie,['nm0003088'],"['nm0455404', 'nm0004306']",['nm0000342'],"['nm0844294', 'nm0004815', 'nm0546816']",,['nm0922806'],"['nm0587964', 'nm0593294']",,,,
35,tt0112637,Carrington (1995),Carrington,1995,1995,"['Drama', 'Romance']","['Drama', 'Romance']","['Biography', 'Drama', 'Romance']",movie,['nm0358960'],['nm0392264'],"['nm0000596', 'nm0905357', 'nm0922335']",['nm0000668'],['nm0003631'],['nm0006219'],"['nm0569819', 'nm0790545']",,,,
36,tt0112818,Dead Man Walking (1995),Dead Man Walking,1995,1995,['Drama'],"['Crime', 'Drama']","['Crime', 'Drama']",movie,['nm0000209'],['nm0695878'],"['nm0000576', 'nm0698764', 'nm0000855']",['nm0000215'],['nm0005683'],['nm0730321'],"['nm0453091', 'nm0799886']",,,,
